user_id,goods_id
9ce28920340e08ea7d57ef4e20e74c53,1c68dd53c16cf55104694bd3abbaa23b
9ce28920340e08ea7d57ef4e20e74c53,a875a61b95e4b01c779bca21ee1086a8
9ce28920340e08ea7d57ef4e20e74c53,fa94f60f5c6999ca517b51837024393e
a703674e07430a05e46f25d4aa7692f6,5b32d8749289b3d2a7b189933c894926
a703674e07430a05e46f25d4aa7692f6,9bb76b1bb9496b231aca40ce1d3236bc
a703674e07430a05e46f25d4aa7692f6,ab30875d2a939c1edc3ca23abb85ebc3
259d206f9de10b2739288143d66327ab,6cc65636a07c5fdd7dd9681d7fa30378
45e9b2ebb9afbd89f90c7ced7f42b8db,3a5b8be608169e62a8472a67bb6aeedd
d9bef51a5c36d119e0a8ddf1553c85f6,8acb387186c455c671b4a2385a83f3cb
9e7df73e974bfe0e3e184fb91087112d,455926481a78a31317bf550170e7e3d0
2a5a296819181ce28cafee38d3b8dbf9,462143ad714f49b68639c2f5ef7a012a
2a5a296819181ce28cafee38d3b8dbf9,f5857af179652bc66c562086b343f580
528fc49211c3b6c0a2bd531bdd6a8909,43f0b6581121823807a723705960c46f
528fc49211c3b6c0a2bd531bdd6a8909,4d398a18418b291cbcd2a9d7e817c427
528fc49211c3b6c0a2bd531bdd6a8909,7c62126c4c41d36f139970bb187affa9
528fc49211c3b6c0a2bd531bdd6a8909,ad42682e7a9064c955d3cb5aa7472a3b
528fc49211c3b6c0a2bd531bdd6a8909,c422ef8b93ab57ad3c8aa4466ca94317
f8a48ac23b9f858cdfd57fcf6c52494d,31e1252d6c389ee577fbb8ad6c04b8bb
f8a48ac23b9f858cdfd57fcf6c52494d,3a7ad96b349390b6af507a8fa8c7db7b
f8a48ac23b9f858cdfd57fcf6c52494d,4378cea6388c3b40e45263073188b7c3
f8a48ac23b9f858cdfd57fcf6c52494d,65f402274795f78b4d2441b03310e2e5
f8a48ac23b9f858cdfd57fcf6c52494d,93e844d131e722f79d2193c80b74a7b9
f8a48ac23b9f858cdfd57fcf6c52494d,a67dd4c8e370fa0b37b024c753df1c42
f8a48ac23b9f858cdfd57fcf6c52494d,eb2033541a8a8c1e6fc3118404cec1e8
